"Tender/Ref No.","Title","Agency","Procurement Category","Source","Scope Summary","Publish Date/Time","Closing Date/Time","Status","Link"
"","3-pcs Travel Pouch for BBB Conversion Token","Singapore Red Cross Society","Administration & Training: Gifts & Souvenirs","TenderBoard","","9 Sep","23 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","-L Shape Office Table (Refer to the attached drawing)
-4 door Wooden Cabinet with Shelves
-Executive Office Chair

For SNM Nursing Home @ Riverwalk, CFO office.","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","9 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Adhoc Purchase for Nursing - Rechargeable & Washable Hair Clipper","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TO REPAIR 2 OF THE DISLODGE SWIGGLE STICKS AND REPLACE 1 MISSING SWIGGLE STICK AT B/238 HOUGANG AVE 1, PLAYGROUND CORNER","Aljunied-Hougang Town Council","Construction: Others","TenderBoard","","9 Sep","23 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Window silicon Sealant repair work","Singapore Recreation Club","Construction: Others","TenderBoard","","9 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Term Vendor for Backdrops, Banners & Standees for 2 years","SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA)","Others: Others","TenderBoard","","9 Sep","23 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","QUOTATION FOR (A) SUPPLY AND INSTALLATION OF TABLES & PARTITIONS, (B) DISMANTLING OF CABINETS AND (C) SUPPLY AND INSTALLATION OF CABINETS WITH SHELVES FOR TOWN COUNCIL OFFICES","Aljunied-Hougang Town Council","Construction: Renovation Supplies & Services","TenderBoard","","9 Sep","28 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Food & Beverages for 2 years","SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA)","Event Organising, Food & Beverages: Catering Services","TenderBoard","","9 Sep","30 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Purchase of Auto- Feed Shredder Machine for Finance & Hr Department @ SNM NH Chong Pang","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Vegetable items for Guru Samadhi 2026","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Interlocking Platform Trolley","SIM - Singapore Institute of Management","Not Specified","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Customised Stationery Pencil Case (Friends of Singa Branding)","Singapore Kindness Movement","Administration & Training: Office Supplies & Stationery","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Customised short-sleeved T-shirt","Singapore Kindness Movement","Administration & Training: Printing Services","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Wound Solution Dermacyn & Granudacyn","LENTOR HEALTH NURSING HOME","IT&Telecommunication: Others","TenderBoard","","9 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","SCC Renovation - Hand-Painted Mural at Level 2","APSN","Construction: Interior Decoration","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply, Delivery, Installation, Testing and Commissioning of Door Access Control System","ALL SAINTS HOME","Construction: Others","TenderBoard","","8 Sep","18 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Facilities Management Services at Singapore Youth Flying Club","SINGAPORE YOUTH FLYING CLUB","Facilities Management: Management Services","TenderBoard","","8 Sep","1 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","Medical Consumable item","LENTOR HEALTH NURSING HOME","Construction: Others","TenderBoard","","8 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Live Food Stations for Project Give Heartlands 2026","SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA)","Event Organising, Food & Beverages: Catering Services","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TENDER FOR PROVISION OF ELECTRICITY TO SAFRA CLUBHOUSES AND SINGAPORE YOUTH FLYING CLUB","SAFRA National Service Association","Others: Others","TenderBoard","","8 Sep","25 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Emergency breakglass for em lock doors","Singapore Red Cross Society","Miscellaneous: Safety & Rescue Equipment","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Staff Appreciation 2026","SINGAPORE INDIAN DEVELOPMENT ASSOCIATION (SINDA)","Others: Others","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ Double-door mobile heated cart with left and right doors.  Heavy-duty commercial food-warming and transport cabinet featuring split double-door design (left-hinged and right-hinged doors meeting in the middle) for efficient heat retention.","The Singapore Island Country Club","Event Organising, Food & Beverages: Outdoor Event Facilities","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TGA 2026: Designing of Certificates( with variable names), Digital Programme booklet and Digital Invitation Card","Singapore Kindness Movement","Event Organising, Food & Beverages: Event Organising","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TENDER FOR EV (ELECTRIC VEHICLES) CHARGING STATION AT SELETAR COUNTY CLUB @ 101 SELETAR CLUB ROAD","Seletar Country Club","Construction: General Building & Minor Construction Works","TenderBoard","","8 Sep","22 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply of Chemicals - Prevail Disinfectant","Sree Narayana Mission (Singapore)","Facilities Management: Cleaning Equipment & Supplies","TenderBoard","","8 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply of Brother Label Machine Tape - Brother's P.touch cassette tape, laminated black on yellow tape, assorted sizes","Sree Narayana Mission (Singapore)","Administration & Training: Office Supplies & Stationery","TenderBoard","","8 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ - DOOR GIFT FOR DINNER & DANCE (16 NOV 2026)","The Singapore Island Country Club","Administration & Training: Gifts & Souvenirs","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","REQUEST FOR QUOTE FOR WHISKY'S FOR ISLAND BANQUET BAR FOR 1 YEARS (OCT 2026-SEPT 2027) MUST FROM AUTHORISED DEALER","The Singapore Island Country Club","Others: Others","TenderBoard","","8 Sep","18 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","PROVISION OF MEDICAL SERVICES AND EMPLOYEE MEDICAL BENEFITS ADMINISTRATION","SPD Ltd.","Dental, Medical & Laboratory: Others","TenderBoard","","8 Sep","22 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Annual On-Site Flu Vaccination","APSN","Dental, Medical & Laboratory: Others","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Cleaning Services to Allkin Singapore Ltd for a period of 2 Years","ALLKIN SINGAPORE LTD.","Facilities Management: Cleaning Services","TenderBoard","","8 Sep","25 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Small Equipment: Foyer Tanglin Best 5 Posters","APSN","Construction: Signages","TenderBoard","","8 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Graduation Night Dinner for Secondary Cohort 2026","Pathlight School (Ang Mo Kio)","Not Specified","TenderBoard","","8 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Term Contract: Supply and Deliver of Printed Circuit Boards for Lifts for 2 Years with an Option to Extend for 1 Year","E M Services Pte Ltd","Facilities Management: Lifts & Escalator Accessories & Parts","TenderBoard","","8 Sep","21 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Urine Bag, 120cm, 2000ml, Sterile  10s/bag, 20bag/ carton","LENTOR HEALTH NURSING HOME","Dental, Medical & Laboratory: Others","TenderBoard","","8 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Term Contract: Supply and Deliver of Lift Parts for 2 Years with an Option to Extend for 1 Year","E M Services Pte Ltd","Facilities Management: Lifts & Escalator Accessories & Parts","TenderBoard","","8 Sep","21 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","QUANTITY SURVEYING CONSULTANCY SERVICES (EOI STAGE) FOR PROPOSED NEW CLUBHOUSE AT BAYSHORE DRIVE","SAFRA National Service Association","Construction: Others","TenderBoard","","7 Sep","28 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Design & Build Renovation Works at Singapore Discovery Centre (SDC), Ceiling Works, Toilet Refurbishment and Accessibility Improvements","Defence Collective Singapore Ltd","Construction: General Building & Minor Construction Works","TenderBoard","","7 Sep","1 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","THE PROVISION OF EVENT PRODUCTION AND MANAGEMENT SERVICES FOR THE DEFENCE COLLECTIVE FESTIVAL AT DEFENCE COLLECTIVE SINGAPORE (COMPRISING THE SINGAPORE DISCOVERY CENTRE, SINGAPORE NAVY MUSEUM, AND SINGAPORE AIR FORCE MUSEUM) IN NOVEMBER 2026","Defence Collective Singapore Ltd","Event Organising, Food & Beverages: Event Organising","TenderBoard","","7 Sep","21 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Professional Engineer for Fire Cert @ SNM Nursing Home Riverwalk","Sree Narayana Mission (Singapore)","Facilities Management: Building, M&E Maintenance","TenderBoard","","7 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Tender for Nominated Sub-Contractor (NSC) - Replacement of Two (2) Existing Passenger Lifts for MINDSG Ltd at 800 Margaret Drive, Singapore 149310","MINDS","Facilities Management: Lift & Escalator Installation & Maintenance","TenderBoard","","7 Sep","8 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","TENDER SICC/013/2026 FOR PROVISION OF LAUNDRY SERVICES CONTRACT AT SICC ISLAND & BUKIT LOCATIONS (3 YEARS) WITH OPTION TO RENEW 2 YEARS","The Singapore Island Country Club","Services: Laundry Services","TenderBoard","","7 Sep","21 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Invitation to Tender to Conduct Interviews, Focus Groups and Employee Opinion Surveys; Develop Reports for the Tripartite Alliance Award 2027; and Conduct Post-Award Activities","Tripartite Alliance Limited","Others: Others","TenderBoard","","7 Sep","24 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","DAILY INTERNAL AND AD HOC COURIER SERVICE FOR ALJUNIED-HOUGANG TOWN COUNCIL FROM 01 JANUARY 2027 TO 31 DECEMBER 2028","Aljunied-Hougang Town Council","Administration & Training: Postage & Courier","TenderBoard","","7 Sep","24 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Red Cross Junior (RCJ) - 2 Way Transport for 2 preschools attending the SRC Awards Ceremony on 22 September 2026","Singapore Red Cross Society","Transportation: Bus Hire","TenderBoard","","7 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision and implementation of a secure cloud-based Integrated Human Resource Management System (HRMS).","Persatuan Pemudi Islam Singapura (PPIS)","IT&Telecommunication: IT Services & Software Development","TenderBoard","","7 Sep","21 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ To Supply and Installation of 1 set of Aluminium Double-Leaf Door with Digital Lock","The Singapore Island Country Club","Construction: Others","TenderBoard","","7 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ OUTDOOR SQUARE (80CM X 80CM) METAL TABLE FOR CANOPY","The Singapore Island Country Club","Event Organising, Food & Beverages: Restaurants","TenderBoard","","7 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Request for Quotation (RFQ) for the Supply of Rehabilitation Equipment Cardio Machines for MWS Senior Care Centre Eunos","Methodist Welfare Services","Dental, Medical & Laboratory: Others","TenderBoard","","7 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Pork for Month of September 2026","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","7 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply & Install 3mm thk: Conductive Vinyl Tile","TENON CONSTRUCTION PTE. LTD.","Construction: General Building & Minor Construction Works","TenderBoard","","7 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","ITQ for Provision of Card Printing and Delivery Services for Developmental Disability Registry Identity Card","SG ENABLE LTD.","Administration & Training: Printing Services","TenderBoard","","7 Sep","18 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ for 1 unit of Electric Walker for All Saints Silver Lifestyle Club @ Yishun Central","ALL SAINTS HOME","Others: Others","TenderBoard","","7 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","OPTILUBE LUBRICATING JELLY 42G","LING KWANG HOME FOR SENIOR CITIZENS","Others: Others","TenderBoard","","5 Sep","12 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","REQUEST FOR PROPOSAL (RFP)
Design & Build of Customised Cabinets for Heritage Gallery at SSC","Singapore Swimming Club","Construction: Renovation Supplies & Services","TenderBoard","","4 Sep","18 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","IOT DATA ACQUISITION INFRASTRUCTURE SYSTEM UPGRADE AT SINGAPORE DISCOVERY CENTRE (SDC) WITH MAINTENANCE FOR A PERIOD OF THIRTY-SIX (36) MONTHS, AND OPTION TO EXTEND FOR ANOTHER TWENTY-FOUR (24) MONTHS.","Defence Collective Singapore Ltd","IT&Telecommunication: Others","TenderBoard","","4 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TO PROVIDE TEAM RETREAT FOR ALJUNIED-HOUGANG TOWN COUNCIL HOD STAFFS ON 7TH OCTOBER 2026","Aljunied-Hougang Town Council","Event Organising, Food & Beverages: Event Organising","TenderBoard","","4 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Pathlight School (AMK) Interactive Screen Purchase for tech refresh","Pathlight School (Ang Mo Kio)","Not Specified","TenderBoard","","4 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","WCR - Annual Maintenance for Hydrocollator Tabletop Heating Unit","Sree Narayana Mission (Singapore)","Dental, Medical & Laboratory: Others","TenderBoard","","4 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","WSCC - Purchase Disinfectant Tablets & Lancing Device","Sree Narayana Mission (Singapore)","Dental, Medical & Laboratory: Others","TenderBoard","","4 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","THE PROCUREMENT OF SKILLS DEVELOPMENT PARTNER (SDP) PROGRAMME EVALUATION","Institute for Human Resource Professionals Limited","Services: Professional Services","TenderBoard","","4 Sep","5 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","TO SUPPLY AND PURCHASE OF JUMBO TOILET ROLLS FOR ALJUNIED-HOUGANG TOWN COUNCIL FOR A PERIOD OF 3 YEARS FROM 1 JANUARY 2027 TO 31 DECEMBER 2029","Aljunied-Hougang Town Council","Administration & Training: Office Supplies & Stationery","TenderBoard","","4 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","WSCC - Purchase Housekeeping Items","Sree Narayana Mission (Singapore)","Facilities Management: Cleaning Equipment & Supplies","TenderBoard","","4 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ for the Provision and Administration of Influenza Vaccinations for SICC Team Members","The Singapore Island Country Club","Dental, Medical & Laboratory: Others","TenderBoard","","4 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ SERVICING OF OPERABLE WALL SYSTEM (PARTITION FOR ISLAND GRAND BALLROOM) SERVICE CONTRACT FOR 2 TIMES PER YEAR","The Singapore Island Country Club","Event Organising, Food & Beverages: Meeting Venues & Facilities","TenderBoard","","4 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ To purchase 15 pcs of oblong tables to support the daily Banquet Operations.","The Singapore Island Country Club","Event Organising, Food & Beverages: Meeting Venues & Facilities","TenderBoard","","4 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ Renewal for Cyberark Licenses for 1 Year","The Singapore Island Country Club","IT&Telecommunication: Softwares & Licences","TenderBoard","","4 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","HORTICULTURE IMPROVEMENT WORK TO SENSORY GARDEN AT APSN KATONG SCHOOL","APSN","Facilities Management: Horticulture Works","TenderBoard","","4 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Delivery of Collateral to various Primary and Secondary schools in SG","Singapore Kindness Movement","Administration & Training: Postage & Courier","TenderBoard","","4 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","FOR THE PROVISION AND OPERATION OF JUNIOR SHOOTING PROGRAMMES – SPORTS SHOOTING 
AND LASER SHOOTING AT SAFRA YISHUN INDOOR AIR WEAPON RANGE","SAFRA National Service Association","Administration & Training: Sports & Recreational Equipment","TenderBoard","","4 Sep","17 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TO2026019 - INVITATION TO TENDER FOR PROPOSED NEW ERECTION OF SINGLE STOREY MANGROVE CONSERVATORY LABORATORY AT BLOCK 7 LEVEL 2 OF SINGAPORE INSTITUTE OF TECHNOLOGY","SINGAPORE INSTITUTE OF TECHNOLOGY","Construction: Interior Decoration","TenderBoard","","4 Sep","2 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","SIM GE B-Roll Video Library","SIM - Singapore Institute of Management","Not Specified","TenderBoard","","3 Sep","21 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Invitation To Bid For The Provision Of Cashless Self Service Locker (Swimming Pool) at SAFRA Clubs","SAFRA National Service Association","Others: Others","TenderBoard","","3 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Inadine Non Adherent Dressing","LING KWANG HOME FOR SENIOR CITIZENS","Dental, Medical & Laboratory: Others","TenderBoard","","3 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","HOPE Token 2026","Singapore Red Cross Society","Administration & Training: Gifts & Souvenirs","TenderBoard","","3 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","SUPPLY OF COFFEE AND TEA POWDER-RESIDENTS","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","3 Sep","12 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","SUPPLY OF APOLLO CREAM CAKES, MILO PACKETS KIDS SIZE, LONDON CAKE ROLL-RESIDENTS","Sree Narayana Mission (Singapore)","Construction: Others","TenderBoard","","3 Sep","12 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Procurement of Storage Organisation, Labelling and Cleaning Supplies for CFA Campsite Operations","Singapore Red Cross Society","Facilities Management: Cleaning Equipment & Supplies","TenderBoard","","3 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","MILO POWDER (1.8KG PER TIN, 6 TINS PER CARTON)","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","3 Sep","12 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","PROVISION OF MANPOWER, EQUIPMENT AND CONSUMABLES FOR VAPORIZER COIL REPLACEMENT WORKS IN MPCG PLANT","City Energy Pte. Ltd. (as Trustee of City Energy Trust)","Others: Others","TenderBoard","","3 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","xmas and new year light up","TANGLIN CLUB","Others: Others","TenderBoard","","3 Sep","24 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Design and Adaptation of Kindsville Activity Materials","Singapore Kindness Movement","Others: Others","TenderBoard","","3 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TO RENEW MAINTENANCE SUPPORT FOR SIMPLICITY V2 HARDWARE","Aljunied-Hougang Town Council","IT&Telecommunication: IT Services & Software Development","TenderBoard","","3 Sep","17 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of fixed height tables for UOB Hall 1 and 2","SG ENABLE LTD.","Furniture, Office Equipment & Audio-Visual: Furniture","TenderBoard","","3 Sep","14 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","PORTABLE AIR-CONDITIONER (13,000BTU) FOR STAFF DORM","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","3 Sep","12 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","ITQ - Supply and Deliver Corporate-Managed Mobile Devices for Mobile Device Management (MDM) Solution","Meranti Power Pte Ltd","IT&Telecommunication: Telecommunication Devices","TenderBoard","","3 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Appointment of Insurance Broker","E M Services Pte Ltd","Others: Others","TenderBoard","","3 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Neon Art Jamming Session for E M Services 2026 Enrichment Day","E M Services Pte Ltd","Event Organising, Food & Beverages: Outdoor Event Facilities","TenderBoard","","3 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply and Delivery of 20 Laptops","E M Services Pte Ltd","IT&Telecommunication: IT Services & Software Development","TenderBoard","","3 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply, Sorting and Delivery of Children’s Day Gift","Yayasan MENDAKI","Administration & Training: Gifts & Souvenirs","TenderBoard","","3 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ - Canvas Customisation AMS 2026 - 2027","SIM - Singapore Institute of Management","Not Specified","TenderBoard","","2 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","UNIT AVAILABLE AT SAFRA TAMPINES (#02-03)","SAFRA National Service Association","Others: Others","TenderBoard","","2 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","UNIT AVAILABLE AT SAFRA TAMPINES (#01-00B)","SAFRA National Service Association","Others: Others","TenderBoard","","2 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Periodic Structural inspection for 23/3A Jalan Besar","Muslimin Trust Fund Association","Services: Professional Services","TenderBoard","","2 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Invitation to Quote (ITQ) for the Provision of Sensory Storytelling Engagement Programmes for Residents at MINDSville Home","MINDS","Administration & Training: Courses","TenderBoard","","2 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Leasing of copiers and printers","KWONG WAI SHIU HOSPITAL","Not Specified","TenderBoard","","2 Sep","29 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","ITQ - RTO for Phase 2 Advance works at SNM NH@ Chongpang","Sree Narayana Mission (Singapore)","Construction: General Building & Minor Construction Works","TenderBoard","","2 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","HALAL BIRTHDAY CAKES FOR RESIDENTS (27 NOVEMBER 2026)","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","2 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","HALAL BIRTHDAY CAKES FOR RESIDENTS (25 SEPTEMBER 2026)","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","2 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","The Provision and Management Of Activities Services At UWCSEA Sand Court Facilities","United World College of South East Asia","Services: Professional Services","TenderBoard","","2 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","HALAL BIRTHDAY CAKES FOR RESIDENTS (30 OCTOBER 2026)","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","2 Sep","11 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","To supply labour, tools and equipment to carry out works for the removal of trees","TANGLIN CLUB","Others: Others","TenderBoard","","2 Sep","18 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Appointment of Architect Consultant for the Development of a Concept Master Plan for Marsiling-Yew Tee Town Council","E M Services Pte Ltd","Facilities Management: Architect, Engineer, QS, Project Manager & Interior Designer","TenderBoard","","2 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","10000794 Purchase of Netballs for SIM Netball 26","SIM - Singapore Institute of Management","Not Specified","TenderBoard","","2 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply & Installation of Exhaust Fans at Pathlight School (Ang Mo Kio Campus 1), Block D, Level 1 to Level 3 Classrooms","Pathlight School (Ang Mo Kio)","Not Specified","TenderBoard","","2 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Breakfast Items Supply for month of October 2026","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","2 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Invitation to Quote for Fabrication, Installation, Maintenance and Dismantling of Props and Display Items for Sunflower 2026 Display at Gardens By The Bay","GARDENS BY THE BAY","Facilities Management: Building Tradesmen","TenderBoard","","2 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
